user_id,item_id,rating
user76,item10,3
user25,item18,4
user19,item8,3
user86,item36,2
user40,item23,1
user64,item4,1
user55,item12,5
user55,item5,5
user62,item20,5
user31,item28,3
user77,item46,4
user23,item24,4
user51,item15,3
user59,item26,5
user51,item38,5
user26,item4,2
user87,item17,3
user4,item10,2
user70,item1,3
user1,item42,1
user76,item10,1
user81,item32,3
user82,item38,1
user50,item9,1
user97,item9,2
user12,item37,3
user25,item9,5
user7,item20,1
user37,item16,2
user65,item47,3
user50,item27,5
user20,item12,1
user64,item16,2
user53,item10,5
user85,item38,3
user69,item45,5
user44,item1,3
user6,item12,3
user61,item26,3
user59,item25,5
user98,item36,3
user40,item4,1
user27,item25,1
user69,item18,3
user68,item27,2
user39,item45,1
user88,item26,1
user77,item47,5
user99,item6,3
user35,item8,4
user98,item44,5
user98,item3,5
user49,item21,3
user4,item30,1
user1,item43,4
user76,item6,5
user96,item23,3
user4,item35,4
user80,item28,1
user100,item18,2
user57,item31,5
user14,item3,4
user63,item36,2
user1,item41,5
user98,item40,2
user81,item35,2
user81,item7,1
user34,item10,1
user2,item36,5
user24,item29,4
user82,item37,2
user86,item36,5
user21,item46,2
user73,item12,2
user61,item17,5
user98,item33,2
user68,item45,1
user28,item6,4
user69,item37,1
user81,item3,5
user52,item36,3
user68,item47,1
user46,item46,4
user83,item28,5
user11,item23,1
user51,item22,1
user19,item29,2
user63,item49,1
user36,item21,3
user88,item34,5
user14,item18,2
user35,item4,2
user96,item6,1
user84,item46,2
user30,item15,1
user13,item49,2
user67,item32,1
user100,item1,2
user11,item3,2
user71,item16,4
user17,item49,3
user43,item12,1
user77,item16,1
user90,item1,2
user3,item13,1
user53,item14,3
user92,item10,2
user42,item42,1
user51,item27,5
user63,item26,2
user38,item29,4
user45,item50,4
user72,item46,4
user23,item18,1
user91,item42,5
user90,item22,2
user29,item33,3
user3,item27,1
user36,item39,4
user16,item39,3
user45,item43,3
user46,item13,4
user45,item22,2
user60,item49,4
user18,item6,3
user9,item4,2
user48,item6,2
user25,item16,3
user65,item48,2
user96,item38,1
user55,item31,3
user11,item14,3
user97,item21,4
user13,item30,3
user38,item40,4
user72,item28,4
user34,item26,5
user8,item9,2
user19,item37,4
user59,item10,4
user95,item11,5
user34,item28,3
user70,item16,2
user79,item11,5
user89,item17,2
user1,item44,2
user9,item48,5
user18,item9,5
user81,item15,3
user2,item3,5
user43,item35,3
user84,item46,1
user80,item31,5
user17,item43,1
user50,item28,2
user46,item23,3
user94,item25,1
user57,item8,3
user88,item23,1
user20,item18,5
user33,item19,4
user99,item41,1
user41,item17,3
user84,item42,3
user97,item24,1
user79,item42,5
user19,item31,5
user85,item42,2
user58,item19,5
user96,item23,3
user88,item48,1
user89,item11,1
user40,item23,2
user42,item26,2
user8,item1,5
user92,item4,1
user1,item13,3
user79,item11,2
user99,item34,4
user17,item50,5
user2,item15,2
user12,item2,2
user70,item42,4
user9,item44,2
user45,item15,3
user24,item42,4
user50,item7,2
user59,item40,1
user55,item20,1
user34,item18,3
user4,item32,3
user77,item25,3
user49,item48,1
user13,item44,4
user17,item10,3
user85,item26,5
user85,item23,3
user25,item19,5
user96,item18,4
user61,item40,3
user89,item49,3
user85,item39,1
user64,item34,4
user12,item23,2
user75,item46,1
user59,item38,1
user55,item13,1
user65,item40,2
user22,item12,3
user54,item26,2
user76,item16,4
user4,item48,5
user89,item21,4
user5,item30,1
user57,item49,1
user35,item11,4
user52,item25,2
user1,item20,4
user12,item50,2
user45,item27,4
user100,item35,5
user15,item15,2
user3,item28,3
user21,item37,5
user10,item42,3
user17,item16,3
user27,item23,4
user5,item1,3
user48,item18,2
user73,item5,5
user65,item27,1
user59,item36,4
user47,item18,2
user72,item42,4
user9,item5,4
user42,item50,1
user29,item38,2
user44,item28,1
user69,item31,5
user24,item47,3
user74,item6,4
user80,item35,1
user76,item3,4
user56,item19,2
user73,item46,3
user66,item47,4
user81,item34,2
user29,item29,2
user58,item12,3
user90,item36,1
user12,item4,5
user77,item44,5
user37,item33,1
user74,item39,3
user32,item1,5
user5,item15,2
user66,item3,5
user3,item29,3
user9,item14,3
user62,item35,4
user9,item50,3
user49,item35,1
user57,item12,1
user44,item24,3
user98,item32,2
user42,item7,2
user51,item5,1
user79,item24,2
user5,item22,2
user72,item27,5
user26,item46,5
user96,item30,5
user45,item1,4
user32,item48,5
user96,item30,5
user88,item47,5
user84,item4,3
user48,item25,3
user94,item48,4
user57,item38,4
user26,item15,2
user63,item43,1
user76,item20,3
user61,item34,1
user84,item42,1
user97,item14,4
user92,item33,3
user90,item34,3
user75,item22,1
user1,item18,1
user33,item8,4
user92,item47,2
user50,item50,5
user87,item32,4
user80,item31,3
user36,item21,5
user78,item20,2
user63,item50,5
user12,item41,5
user90,item21,1
user4,item17,3
user52,item5,5
user53,item12,4
user44,item44,4
user9,item25,2
user31,item19,1
user40,item17,5
user10,item10,5
user93,item8,5
user85,item19,1
user26,item45,1
user81,item36,3
user53,item41,5
user93,item24,1
user40,item2,1
user29,item40,3
user18,item20,2
user20,item25,4
user18,item7,4
user12,item9,4
user11,item28,1
user1,item46,1
user37,item18,3
user51,item23,2
user21,item13,5
user61,item41,1
user20,item7,2
user21,item38,1
user73,item43,2
user63,item24,4
user22,item40,4
user96,item8,3
user11,item47,5
user46,item17,1
user43,item27,4
user2,item21,5
user62,item27,5
user25,item27,2
user22,item21,1
user98,item48,2
user67,item36,5
user36,item14,3
user93,item45,2
user76,item24,5
user46,item35,1
user90,item14,5
user38,item37,3
user9,item27,2
user13,item4,3
user5,item41,2
user66,item37,2
user85,item2,1
user94,item27,3
user35,item10,3
user30,item40,1
user32,item7,4
user64,item29,5
user20,item21,3
user77,item49,5
user31,item19,4
user34,item13,3
user58,item37,4
user83,item40,3
user61,item42,4
user35,item21,3
user68,item18,2
user74,item16,3
user17,item2,5
user13,item37,3
user82,item10,4
user28,item12,1
user62,item14,4
user70,item41,1
user93,item13,1
user57,item26,4
user17,item32,1
user58,item19,5
user81,item26,4
user59,item46,3
user3,item14,3
user56,item25,1
user39,item26,2
user26,item50,5
user5,item24,1
user53,item31,4
user17,item35,4
user21,item30,3
user58,item2,5
user50,item26,2
user13,item39,3
user59,item36,3
user77,item40,3
user90,item6,3
user66,item49,5
user10,item36,3
user7,item7,2
user57,item44,4
user76,item1,3
user1,item25,1
user56,item40,3
user49,item22,5
user86,item25,2
user59,item9,3
user57,item50,4
user19,item44,3
user39,item37,2
user39,item23,5
user62,item41,4
user72,item39,3
user27,item14,5
user83,item45,3
user4,item28,4
user22,item50,2
user4,item45,5
user26,item19,5
user49,item44,3
user18,item33,1
user98,item47,4
user84,item22,4
user12,item42,2
user76,item7,4
user82,item12,1
user50,item25,1
user56,item43,1
user62,item24,5
user29,item20,2
user42,item30,1
user90,item31,5
user73,item18,4
user90,item26,3
user96,item40,5
user45,item31,4
user88,item22,1
user76,item12,5
user27,item3,1
user34,item26,3
user42,item2,1
user23,item8,5
user49,item25,5
user86,item27,5
user29,item44,1
user19,item25,5
user72,item9,1
user42,item21,4
user52,item48,5
user60,item26,3
user48,item9,5
user27,item33,1
user24,item46,2
user35,item36,3
user93,item34,1
user59,item42,2
user2,item48,5
user94,item41,5
user93,item33,4
user17,item45,5
user24,item19,1
user15,item26,2
user77,item31,3
user29,item17,4
user22,item43,5
user74,item50,3
user47,item15,5
user51,item18,2
user56,item46,1
user7,item14,5
user95,item10,2
user45,item31,2
user55,item4,3
user99,item24,5
user40,item50,2
user77,item13,2
user82,item14,4
user39,item34,2
user14,item37,4
user78,item23,4
user26,item23,3
user37,item14,2
user56,item25,3
user67,item3,4
user7,item6,4
user9,item10,4
user52,item18,2
user63,item18,3
user51,item10,2
user45,item30,2
user35,item17,3
user90,item50,3
user91,item35,3
user77,item23,2
user82,item4,5
user74,item34,3
user13,item12,4
user34,item38,3
user87,item24,2
user24,item3,4
user7,item41,4
user6,item23,3
user45,item9,4
user92,item41,4
